Movie_Title,Movie_ID,ListOfCertificate
Overboard,1563742,PG-13
Serendipity,240890,PG-13
A View to a Kill,90264,PG
K-PAX,272152,PG-13
Big Fat Liar,265298,PG
The Huntsman: Winter's War,2381991,PG-13
Peter Pan 2: Return to Never Land,280030,G
Miss Congeniality 2: Armed & Fabulous,385307,PG-13
Peter Pan,316396,PG
The Dilemma,1578275,PG-13
Gemini Man,1025100,PG-13
Speed 2: Cruise Control,120179,PG-13
Date Movie,466342,PG-13
About Last Night,1826590,R
Firewall,408345,PG-13
Lady Bird,4925292,R
The Deer Hunter,77416,R
I Feel Pretty,6791096,PG-13
Addams Family Values,106220,PG-13
Isn't It Romantic,2452244,PG-13
Men of Honor,203019,R
The Judge,1872194,R
Diary of a Wimpy Kid: Dog Days,2023453,PG
Kate & Leopold,35423,PG-13
First Blood,83944,R
Nanny McPhee,396752,PG
Airport 1975,71110,PG
Hostel,450278,R
Boo 2! A Madea Halloween,6217804,PG-13
Jupiter Ascending,1617661,PG-13
Savages,1615065,R
Warcraft,803096,PG-13
Kingdom of Heaven,320661,R
Hard to Kill,99739,R
Munich,408306,R
Poltergeist,1029360,PG-13
12 Strong,1413492,R
Snatched,2334871,R
The Breakfast Club,88847,R
An American Tail,90633,G
The Rainmaker,119978,PG-13
"Greystoke: The Legend of Tarzan, Lord of the Apes",87365,PG
The Full Monty,119164,R
Gangster Squad,1321870,R
Made of Honor,866439,"PG-13,R"
Mike and Dave Need Wedding Dates,2823054,R
Marked for Death,100114,R
Malice,107497,R
One Fine Day,117247,PG
Black Rain,96933,R
The Enforcer,74483,R
Blended,1086772,PG-13
It's a Mad Mad Mad Mad World,57193,G
Romeo + Juliet,117509,PG-13
Full Metal Jacket,93058,R
The Replacements,191397,PG-13
A Nightmare on Elm Street 3: Dream Warriors,93629,R
Red Dawn,1234719,PG-13
Midnight Cowboy,64665,"R,X"
Timecop,111438,R
Cop Land,118887,R
Cop Out,1385867,R
Lawrence of Arabia,56172,PG
xXx: Return of Xander Cage,1293847,PG-13
The Bridge on the River Kwai,50212,PG
First Man,1213641,PG-13
Made in America,107478,PG-13
All Eyez on Me,1666185,R
Foul Play,77578,PG
Den of Thieves,1259528,R
Convoy,77369,PG
Frequency,186151,PG-13
Smurfs: The Lost Village,2398241,PG
Spotlight,1895587,R
Need for Speed,2369135,PG-13
Going in Style,2568862,PG-13
Police Academy 3: Back in Training,91777,PG
Cats & Dogs: The Revenge of Kitty Galore,1287468,PG
Under the Tuscan Sun,328589,PG-13
West Side Story,55614,
City Slickers II: The Legend of Curly's Gold,109439,PG-13
Tears of the Sun,314353,R
Underdog,467110,PG
The Gift,4178092,R
Pokémon the Movie 2000,210234,G
The Lovely Bones,380510,PG-13
License to Wed,762114,PG-13
Diamonds Are Forever,66995,"GP,PG"
Wall Street,94291,R
Soul Surfer,1596346,PG
Drop Dead Fred,101775,PG-13
Always,96794,PG
Prom Night,926129,PG-13
Acrimony,6063050,R
Love at First Bite,79489,PG
"To Sir, with Love",62376,
Casino,112641,"NC-17,R"
"Welcome Home, Roscoe Jenkins",494652,PG-13
Uncle Drew,7334528,PG-13
The Age of Adaline,1655441,PG-13
Beverly Hills Cop III,109254,R
Krampus,3850590,PG-13
